run_name,prompt_name,template_id,coding_model,universal_model,success,docker_healthy,duration_seconds,total_tokens,total_model_calls,exit_code,timestamp
gym-crm_trpc-agent_gpt-oss_gemini,gym-crm,trpc_agent,gpt-oss,gemini,True,True,426.393278,1417554,169,0,2025-08-20T14:08:53.424202
tennis-enthusiast-platform_trpc-agent_qwen3-480b-35a_gemini,tennis-enthusiast-platform,trpc_agent,qwen3-480b-35a,gemini,True,True,505.344568,533913,82,0,2025-08-20T14:17:18.781652
home-lab-inventory_trpc-agent_qwen3-480b-35a_gemini,home-lab-inventory,trpc_agent,qwen3-480b-35a,gemini,True,True,1029.777042,3249468,222,0,2025-08-20T13:54:22.184553
pastel-blue-notes-app_trpc-agent_qwen3-480b-35a_gemini,pastel-blue-notes-app,trpc_agent,qwen3-480b-35a,gemini,True,True,854.809318,1829451,177,0,2025-08-20T13:56:37.052192
birthday-wish-app_trpc-agent_gpt-oss_gemini,birthday-wish-app,trpc_agent,gpt-oss,gemini,False,False,1500.213149,1242204,220,124,2025-08-20T14:29:36.063277
home-lab-inventory_trpc-agent_gpt-oss_gemini,home-lab-inventory,trpc_agent,gpt-oss,gemini,True,True,217.442424,443638,54,0,2025-08-20T13:42:22.230721
tennis-enthusiast-platform_trpc-agent_gpt-oss_gemini,tennis-enthusiast-platform,trpc_agent,gpt-oss,gemini,True,True,546.596182,1532296,208,0,2025-08-20T14:18:45.546727
cat-conspiracy-tracker_trpc-agent_gpt-oss_gemini,cat-conspiracy-tracker,trpc_agent,gpt-oss,gemini,True,True,362.204996,1496487,183,0,2025-08-20T14:44:55.451550
personal-expense-tracker_trpc-agent_qwen3-480b-35a_gemini,personal-expense-tracker,trpc_agent,qwen3-480b-35a,gemini,True,True,781.885176,1622676,193,0,2025-08-20T14:09:38.944499
kanji-flashcards_trpc-agent_qwen3-480b-35a_gemini,kanji-flashcards,trpc_agent,qwen3-480b-35a,gemini,True,True,712.57487,1154982,126,0,2025-08-20T14:03:22.508127
recipe-sharing-platform_trpc-agent_qwen3-480b-35a_gemini,recipe-sharing-platform,trpc_agent,qwen3-480b-35a,gemini,True,True,659.351836,387214,54,0,2025-08-20T14:39:46.731443
todo-list-with-mood_trpc-agent_gpt-oss_gemini,todo-list-with-mood,trpc_agent,gpt-oss,gemini,True,True,615.112052,2230350,255,0,2025-08-20T14:13:37.626519
book-library-manager_trpc-agent_gpt-oss_gemini,book-library-manager,trpc_agent,gpt-oss,gemini,True,True,442.189279,1761693,172,0,2025-08-20T13:34:28.644612
pc-gaming-niche-site_trpc-agent_gpt-oss_gemini,pc-gaming-niche-site,trpc_agent,gpt-oss,gemini,True,True,512.014509,1645158,217,0,2025-08-20T14:15:49.888753
wellness-score-tracker_trpc-agent_qwen3-480b-35a_gemini,wellness-score-tracker,trpc_agent,qwen3-480b-35a,gemini,True,True,665.117262,948763,105,0,2025-08-20T13:38:44.783443
bookmark-management-app_trpc-agent_qwen3-480b-35a_gemini,bookmark-management-app,trpc_agent,qwen3-480b-35a,gemini,True,True,613.909601,2245518,210,0,2025-08-20T14:04:35.840799
gym-crm_trpc-agent_qwen3-480b-35a_gemini,gym-crm,trpc_agent,qwen3-480b-35a,gemini,True,True,283.588101,448227,54,0,2025-08-20T14:03:54.835057
daily-pattern-visualizer_trpc-agent_qwen3-480b-35a_gemini,daily-pattern-visualizer,trpc_agent,qwen3-480b-35a,gemini,True,True,794.494674,1752943,175,0,2025-08-20T13:47:43.146020
engineering-job-board_trpc-agent_qwen3-480b-35a_gemini,engineering-job-board,trpc_agent,qwen3-480b-35a,gemini,False,False,1500.25721,2223381,220,124,2025-08-20T14:38:37.891358
event-tracker_trpc-agent_qwen3-480b-35a_gemini,event-tracker,trpc_agent,qwen3-480b-35a,gemini,True,True,659.88006,827767,123,0,2025-08-20T13:42:48.469441
plumbing-business-landing-page_trpc-agent_gpt-oss_gemini,plumbing-business-landing-page,trpc_agent,gpt-oss,gemini,True,True,336.540285,712599,115,0,2025-08-20T13:54:21.924643
personal-expense-tracker_trpc-agent_gpt-oss_gemini,personal-expense-tracker,trpc_agent,gpt-oss,gemini,True,True,483.59117,1173685,147,0,2025-08-20T14:06:26.313703
pc-gaming-niche-site_trpc-agent_qwen3-480b-35a_gemini,pc-gaming-niche-site,trpc_agent,qwen3-480b-35a,gemini,True,True,1167.679919,1221139,129,0,2025-08-20T14:25:54.002359
event-tracker_trpc-agent_gpt-oss_gemini,event-tracker,trpc_agent,gpt-oss,gemini,True,True,393.302122,1841276,210,0,2025-08-20T13:40:11.522947
teacher-question-bank_trpc-agent_gpt-oss_gemini,teacher-question-bank,trpc_agent,gpt-oss,gemini,True,True,393.004738,1505079,195,0,2025-08-20T13:51:29.924726
habit-tracker-app_trpc-agent_gpt-oss_gemini,habit-tracker-app,trpc_agent,gpt-oss,gemini,True,True,950.802529,1679394,196,0,2025-08-20T14:41:44.833152
car-maintenance-dashboard_trpc-agent_gpt-oss_gemini,car-maintenance-dashboard,trpc_agent,gpt-oss,gemini,True,True,373.036441,1216384,137,0,2025-08-20T13:26:17.369688
engineering-job-board_trpc-agent_gpt-oss_gemini,engineering-job-board,trpc_agent,gpt-oss,gemini,False,False,854.298836,1382377,150,1,2025-08-20T14:28:47.161327
plumbing-business-landing-page_trpc-agent_qwen3-480b-35a_gemini,plumbing-business-landing-page,trpc_agent,qwen3-480b-35a,gemini,True,True,662.95977,512754,68,0,2025-08-20T13:59:11.237181
plant-care-tracker_trpc-agent_qwen3-480b-35a_gemini,plant-care-tracker,trpc_agent,qwen3-480b-35a,gemini,True,True,455.337416,553983,97,0,2025-08-20T13:27:39.658818
beer-counter-app_trpc-agent_gpt-oss_gemini,beer-counter-app,trpc_agent,gpt-oss,gemini,True,True,1174.709865,2160393,345,0,2025-08-20T14:07:17.868061
currency-converter_trpc-agent_qwen3-480b-35a_gemini,currency-converter,trpc_agent,qwen3-480b-35a,gemini,True,True,661.280318,429008,63,0,2025-08-20T13:34:52.072585
roommate-chore-wheel_trpc-agent_gpt-oss_gemini,roommate-chore-wheel,trpc_agent,gpt-oss,gemini,True,True,422.106728,1527648,201,0,2025-08-20T13:27:06.445129
pantry-inventory-app_trpc-agent_gpt-oss_gemini,pantry-inventory-app,trpc_agent,gpt-oss,gemini,True,True,529.578019,3406454,337,0,2025-08-20T13:43:50.356614
kanji-flashcards_trpc-agent_gpt-oss_gemini,kanji-flashcards,trpc_agent,gpt-oss,gemini,True,True,363.025059,1253243,159,0,2025-08-20T13:58:22.713307
plant-care-tracker_trpc-agent_gpt-oss_gemini,plant-care-tracker,trpc_agent,gpt-oss,gemini,True,True,339.528284,597539,99,0,2025-08-20T13:25:43.856400
daily-pattern-visualizer_trpc-agent_gpt-oss_gemini,daily-pattern-visualizer,trpc_agent,gpt-oss,gemini,True,True,379.184204,682036,94,0,2025-08-20T13:41:11.263667
roommate-chore-wheel_trpc-agent_qwen3-480b-35a_gemini,roommate-chore-wheel,trpc_agent,qwen3-480b-35a,gemini,True,True,537.293411,1140135,157,0,2025-08-20T13:29:01.629196
indonesian-inventory-app_trpc-agent_gpt-oss_gemini,indonesian-inventory-app,trpc_agent,gpt-oss,gemini,False,False,1294.425159,1251392,134,1,2025-08-20T14:38:53.216066
teacher-question-bank_trpc-agent_qwen3-480b-35a_gemini,teacher-question-bank,trpc_agent,qwen3-480b-35a,gemini,True,True,509.311586,1110406,128,0,2025-08-20T13:52:19.680397
wellness-score-tracker_trpc-agent_gpt-oss_gemini,wellness-score-tracker,trpc_agent,gpt-oss,gemini,True,True,490.760781,539181,81,0,2025-08-20T13:37:12.398687
car-maintenance-dashboard_trpc-agent_qwen3-480b-35a_gemini,car-maintenance-dashboard,trpc_agent,qwen3-480b-35a,gemini,True,True,893.679144,2269158,230,0,2025-08-20T13:34:58.004463
indonesian-inventory-app_trpc-agent_qwen3-480b-35a_gemini,indonesian-inventory-app,trpc_agent,qwen3-480b-35a,gemini,False,False,1500.076751,1175856,150,124,2025-08-20T14:40:49.969453
book-library-manager_trpc-agent_qwen3-480b-35a_gemini,book-library-manager,trpc_agent,qwen3-480b-35a,gemini,True,True,440.836051,925873,116,0,2025-08-20T13:33:38.214921
habit-tracker-app_trpc-agent_qwen3-480b-35a_gemini,habit-tracker-app,trpc_agent,qwen3-480b-35a,gemini,True,True,1325.311404,788436,117,0,2025-08-20T14:40:50.876977
beer-counter-app_trpc-agent_qwen3-480b-35a_gemini,beer-counter-app,trpc_agent,qwen3-480b-35a,gemini,True,True,986.276003,1080094,180,0,2025-08-20T14:01:47.025470
bookmark-management-app_trpc-agent_gpt-oss_gemini,bookmark-management-app,trpc_agent,gpt-oss,gemini,True,True,447.524209,2391073,257,0,2025-08-20T14:01:49.718839
city-trip-advisor_trpc-agent_qwen3-480b-35a_gemini,city-trip-advisor,trpc_agent,qwen3-480b-35a,gemini,True,True,704.242914,1122418,125,0,2025-08-20T13:31:48.584197
pomodoro-study-timer_trpc-agent_qwen3-480b-35a_gemini,pomodoro-study-timer,trpc_agent,qwen3-480b-35a,gemini,False,False,479.050699,367844,54,1,2025-08-20T14:37:35.175974
basic-inventory-system_trpc-agent_qwen3-480b-35a_gemini,basic-inventory-system,trpc_agent,qwen3-480b-35a,gemini,True,True,513.845214,1386823,178,0,2025-08-20T13:48:45.379509
recipe-sharing-platform_trpc-agent_gpt-oss_gemini,recipe-sharing-platform,trpc_agent,gpt-oss,gemini,True,True,772.087972,917798,124,0,2025-08-20T14:41:47.152970
basic-inventory-system_trpc-agent_gpt-oss_gemini,basic-inventory-system,trpc_agent,gpt-oss,gemini,True,True,225.642807,387860,54,0,2025-08-20T13:44:56.913936
cat-conspiracy-tracker_trpc-agent_qwen3-480b-35a_gemini,cat-conspiracy-tracker,trpc_agent,qwen3-480b-35a,gemini,True,True,456.522659,667425,83,0,2025-08-20T14:46:14.498757
todo-list-with-mood_trpc-agent_qwen3-480b-35a_gemini,todo-list-with-mood,trpc_agent,qwen3-480b-35a,gemini,True,True,763.126474,2247872,236,0,2025-08-20T14:14:32.850943
birthday-wish-app_trpc-agent_qwen3-480b-35a_gemini,birthday-wish-app,trpc_agent,qwen3-480b-35a,gemini,False,False,1500.169088,2723422,286,124,2025-08-20T14:28:55.010128
pantry-inventory-app_trpc-agent_qwen3-480b-35a_gemini,pantry-inventory-app,trpc_agent,qwen3-480b-35a,gemini,True,True,790.258116,1730065,221,0,2025-08-20T13:48:08.269805
currency-converter_trpc-agent_gpt-oss_gemini,currency-converter,trpc_agent,gpt-oss,gemini,True,True,556.910457,1174185,133,0,2025-08-20T13:35:00.772157
pomodoro-study-timer_trpc-agent_gpt-oss_gemini,pomodoro-study-timer,trpc_agent,gpt-oss,gemini,True,True,430.705163,1194947,178,0,2025-08-20T14:44:46.925594
pastel-blue-notes-app_trpc-agent_gpt-oss_gemini,pastel-blue-notes-app,trpc_agent,gpt-oss,gemini,True,True,152.258222,393722,53,0,2025-08-20T13:45:20.734281
city-trip-advisor_trpc-agent_gpt-oss_gemini,city-trip-advisor,trpc_agent,gpt-oss,gemini,True,True,226.454786,206218,45,0,2025-08-20T13:23:50.785493
