app,has_csp_baseline,has_csp_npw,has_external_refs_baseline,has_external_refs_npw,smoke_spec_present_baseline,smoke_spec_present_npw,std_notes_baseline,std_notes_npw
basic-inventory-system_trpc-agent_claude_gemini,WARN,WARN,FAIL,FAIL,PASS,PASS,"2025-08-19 13:44:04,016 - INFO - core.actors - 955c99c7a7c64802a863c7a8ebcda6e1 - actors.py:408 - Running tool complete with input  | 2025-08-19 13:44:06,341 - INFO - core.actors - 955c99c7a7c64802a863c7a8ebcda6e1 - actors.py:538 - Failed to complete: TypeScript errors (frontend): | src/components/T","2025-08-20 12:01:23,727 - INFO - trpc_agent.actors - aabe2a7ae1a74cf9b545569697b6728c - actors.py:654 - Test execution result for handler 'create_product': 0 | 2025-08-20 12:01:23,732 - INFO - core.actors - aabe2a7ae1a74cf9b545569697b6728c - actors.py:538 - Failed to complete: TypeScript errors (bac"
beer-counter-app_trpc-agent_claude_gemini,WARN,WARN,PASS,FAIL,WARN,PASS,"2025-08-19 13:56:37,150 - INFO - trpc_agent.actors - 474c1319ddb547bda591e908f8023b0f - actors.py:654 - Test execution result for handler 'increment_beer_count': 1 | 2025-08-19 13:56:37,150 - INFO - core.actors - 474c1319ddb547bda591e908f8023b0f - actors.py:538 - Failed to complete: TypeScript error",
birthday-wish-app_trpc-agent_claude_gemini,WARN,WARN,FAIL,FAIL,PASS,PASS,"2025-08-19 14:30:28,716 - INFO - trpc_agent.actors - 612256831a034b279234ac640e3319dd - actors.py:654 - Test execution result for handler 'update_photo': 0 | 2025-08-19 14:30:28,717 - INFO - core.actors - 612256831a034b279234ac640e3319dd - actors.py:538 - Failed to complete: TypeScript errors (backe","2025-08-20 12:12:16,963 - INFO - core.actors - 5e34720e62e248058e8e550be2dd4695 - actors.py:382 - Compacted error message size: 826, original size: 13623 | 2025-08-20 12:12:16,963 - INFO - core.actors - 5e34720e62e248058e8e550be2dd4695 - actors.py:538 - Failed to complete: TypeScript errors: | src/t"
book-library-manager_trpc-agent_claude_gemini,WARN,WARN,FAIL,FAIL,PASS,PASS,"2025-08-19 13:23:15,136 - INFO - trpc_agent.actors - c0e9b4ed1b0f43eb9d77bc8e56f0c93c - actors.py:654 - Test execution result for handler 'get_book': 0 | 2025-08-19 13:23:15,137 - INFO - core.actors - c0e9b4ed1b0f43eb9d77bc8e56f0c93c - actors.py:538 - Failed to complete: TypeScript errors (backend):","2025-08-20 11:57:20,399 - INFO - core.actors - 02cf1b9725064fc2996c0dadb3f2e362 - actors.py:382 - Compacted error message size: 641, original size: 12127 | 2025-08-20 11:57:20,399 - INFO - core.actors - 02cf1b9725064fc2996c0dadb3f2e362 - actors.py:538 - Failed to complete: TypeScript errors: | src/h"
bookmark-management-app_trpc-agent_claude_gemini,WARN,WARN,FAIL,FAIL,PASS,PASS," | TypeScript errors (backend): | src/handlers/create_user.ts(4,22): error TS2307: Cannot find module 'bcrypt' or its corresponding type declarations. | src/tests/create_user.test.ts(8,25): error TS2307: Cannot find module 'bcrypt' or its corresponding type declarations.","2025-08-20 12:08:21,150 - INFO - trpc_agent.actors - 8a7c44fb4ed64086a05cce4b5f80fe96 - actors.py:654 - Test execution result for handler 'get_tags': 1 | 2025-08-20 12:08:21,151 - INFO - core.actors - 8a7c44fb4ed64086a05cce4b5f80fe96 - actors.py:538 - Failed to complete: TypeScript errors (backend):"
car-maintenance-dashboard_trpc-agent_claude_gemini,WARN,WARN,FAIL,FAIL,PASS,PASS,"2025-08-19 13:20:31,637 - INFO - trpc_agent.actors - eef1d9e2f4b14ddda5b5029efbe8b57f - actors.py:654 - Test execution result for handler 'update_service_reminder': 0 | 2025-08-19 13:20:31,638 - INFO - core.actors - eef1d9e2f4b14ddda5b5029efbe8b57f - actors.py:538 - Failed to complete: TypeScript er","2025-08-20 11:58:49,625 - INFO - trpc_agent.actors - 2a9b8524d92740738a0c4b804fd9d205 - actors.py:654 - Test execution result for handler 'update_maintenance_record': 0 | 2025-08-20 11:58:49,625 - INFO - core.actors - 2a9b8524d92740738a0c4b804fd9d205 - actors.py:538 - Failed to complete: TypeScript "
cat-conspiracy-tracker_trpc-agent_claude_gemini,WARN,WARN,FAIL,FAIL,PASS,PASS,"2025-08-19 15:08:39,893 - INFO - core.actors - 1cb172ef47084f9c93586bad6a9264f5 - actors.py:408 - Running tool complete with input  | 2025-08-19 15:08:42,143 - INFO - core.actors - 1cb172ef47084f9c93586bad6a9264f5 - actors.py:538 - Failed to complete: TypeScript errors (backend): | src/db/schema.ts(","2025-08-20 12:22:49,803 - INFO - trpc_agent.actors - 07dfc0ca30954b7387b4cc5d73802451 - actors.py:654 - Test execution result for handler 'get_cats': 1 | 2025-08-20 12:22:49,804 - INFO - core.actors - 07dfc0ca30954b7387b4cc5d73802451 - actors.py:538 - Failed to complete: TypeScript errors (backend):"
city-trip-advisor_trpc-agent_claude_gemini,WARN,WARN,FAIL,FAIL,PASS,PASS,"2025-08-19 13:19:39,312 - INFO - core.actors - 4b5f85d64c4344a8afecfb9ed0ec1063 - actors.py:382 - Compacted error message size: 1463, original size: 8036 | 2025-08-19 13:19:39,312 - INFO - core.actors - 4b5f85d64c4344a8afecfb9ed0ec1063 - actors.py:538 - Failed to complete: TypeScript errors: | src/h","2025-08-20 11:56:25,158 - INFO - core.actors - da43de73d2b147ae9949d056c5ec7f23 - actors.py:408 - Running tool complete with input  | 2025-08-20 11:56:27,536 - INFO - core.actors - da43de73d2b147ae9949d056c5ec7f23 - actors.py:538 - Failed to complete: TypeScript errors (backend): | src/handlers/get_"
currency-converter_trpc-agent_claude_gemini,WARN,WARN,FAIL,FAIL,PASS,PASS,"2025-08-19 13:18:51,953 - INFO - trpc_agent.actors - b06e717d22fd4ac4bfffc19a627c02fb - actors.py:654 - Test execution result for handler 'convert_currency': 1 | 2025-08-19 13:18:51,953 - INFO - core.actors - b06e717d22fd4ac4bfffc19a627c02fb - actors.py:538 - Failed to complete: TypeScript errors (b","2025-08-20 11:57:21,741 - INFO - trpc_agent.actors - c4f5863d2e0b4facbdf77636e38b480d - actors.py:654 - Test execution result for handler 'convert_currency': 0 | 2025-08-20 11:57:21,741 - INFO - core.actors - c4f5863d2e0b4facbdf77636e38b480d - actors.py:538 - Failed to complete: TypeScript errors (b"
daily-pattern-visualizer_trpc-agent_claude_gemini,WARN,WARN,FAIL,FAIL,PASS,PASS,"2025-08-19 13:31:16,282 - INFO - core.actors - 4381217d2e3042819594ba91d41bdfff - actors.py:382 - Compacted error message size: 1409, original size: 9064 | 2025-08-19 13:31:16,283 - INFO - core.actors - 4381217d2e3042819594ba91d41bdfff - actors.py:538 - Failed to complete: TypeScript errors: | src/h","2025-08-20 12:01:20,238 - INFO - core.actors - 388d769115e847039112d02d56ad199a - actors.py:382 - Compacted error message size: 1105, original size: 49173 | 2025-08-20 12:01:20,238 - INFO - core.actors - 388d769115e847039112d02d56ad199a - actors.py:538 - Failed to complete: TypeScript errors in src/"
engineering-job-board_trpc-agent_claude_gemini,WARN,WARN,FAIL,FAIL,PASS,PASS,"2025-08-19 14:47:17,674 - INFO - core.actors - 1e5470b04bf142d09579ca302b796511 - actors.py:382 - Compacted error message size: 1402, original size: 45493 | 2025-08-19 14:47:17,674 - INFO - core.actors - 1e5470b04bf142d09579ca302b796511 - actors.py:538 - Failed to complete: TypeScript errors in src/","2025-08-20 12:16:11,530 - INFO - trpc_agent.actors - 1ad5bef139a94a4ba1c3ab02f890fe64 - actors.py:654 - Test execution result for handler 'update_job_listing': 0 | 2025-08-20 12:16:11,530 - INFO - core.actors - 1ad5bef139a94a4ba1c3ab02f890fe64 - actors.py:538 - Failed to complete: TypeScript errors "
event-tracker_trpc-agent_claude_gemini,WARN,WARN,FAIL,FAIL,PASS,PASS,,
gym-crm_trpc-agent_claude_gemini,WARN,WARN,FAIL,FAIL,PASS,PASS,"2025-08-19 14:22:25,938 - INFO - trpc_agent.actors - 2e788d2a223d4c5f802add1ec356932f - actors.py:654 - Test execution result for handler 'update_class': 0 | 2025-08-19 14:22:25,938 - INFO - core.actors - 2e788d2a223d4c5f802add1ec356932f - actors.py:538 - Failed to complete: TypeScript errors (backe","2025-08-20 12:12:17,038 - INFO - core.actors - c781d6b513b94a89a2f874ff1210e11f - actors.py:382 - Compacted error message size: 1387, original size: 5792 | 2025-08-20 12:12:17,038 - INFO - core.actors - c781d6b513b94a89a2f874ff1210e11f - actors.py:538 - Failed to complete: TypeScript errors: | src/h"
habit-tracker-app_trpc-agent_claude_gemini,WARN,WARN,FAIL,FAIL,PASS,PASS,"2025-08-19 14:53:30,364 - INFO - core.actors - 770832ae4bd24db1bd3e0e0070db42fb - actors.py:408 - Running tool complete with input  | 2025-08-19 14:53:32,505 - INFO - core.actors - 770832ae4bd24db1bd3e0e0070db42fb - actors.py:538 - Failed to complete: TypeScript errors (backend): | src/db/schema.ts(","2025-08-20 12:19:14,154 - INFO - trpc_agent.actors - bcbb2f5fe8ad470497354c58a31e1d01 - actors.py:654 - Test execution result for handler 'mark_habit_complete': 0 | 2025-08-20 12:19:14,154 - INFO - core.actors - bcbb2f5fe8ad470497354c58a31e1d01 - actors.py:538 - Failed to complete: TypeScript errors"
home-lab-inventory_trpc-agent_claude_gemini,WARN,WARN,FAIL,FAIL,PASS,PASS,"2025-08-19 13:41:08,090 - INFO - core.actors - 47a183dc8ef94174a98d314d2145d9ad - actors.py:408 - Running tool complete with input  | 2025-08-19 13:41:10,699 - INFO - core.actors - 47a183dc8ef94174a98d314d2145d9ad - actors.py:538 - Failed to complete: TypeScript errors (frontend): | src/components/I",
indonesian-inventory-app_trpc-agent_claude_gemini,WARN,WARN,FAIL,FAIL,PASS,PASS,"2025-08-19 14:50:06,937 - INFO - trpc_agent.actors - bd322fe3377a43e6be7f7018c709f5c3 - actors.py:654 - Test execution result for handler 'get_barang_by_id': 1 | 2025-08-19 14:50:06,937 - INFO - core.actors - bd322fe3377a43e6be7f7018c709f5c3 - actors.py:538 - Failed to complete: TypeScript errors (b",
kanji-flashcards_trpc-agent_claude_gemini,WARN,WARN,FAIL,FAIL,PASS,PASS,"2025-08-19 14:05:42,024 - INFO - core.actors - fc0e3435c82743249b114b8c472c7b12 - actors.py:382 - Compacted error message size: 819, original size: 24250 | 2025-08-19 14:05:42,024 - INFO - core.actors - fc0e3435c82743249b114b8c472c7b12 - actors.py:538 - Failed to complete: TypeScript errors (backend","2025-08-20 12:07:01,029 - INFO - trpc_agent.actors - 63beca511c89431bac5558e27f5dc476 - actors.py:654 - Test execution result for handler 'login_user': 1 | 2025-08-20 12:07:01,029 - INFO - core.actors - 63beca511c89431bac5558e27f5dc476 - actors.py:538 - Failed to complete: TypeScript errors (backend"
pantry-inventory-app_trpc-agent_claude_gemini,WARN,WARN,FAIL,FAIL,PASS,PASS,"2025-08-19 13:33:41,267 - INFO - trpc_agent.actors - 2d239887af4b442b9b6b1c8e344bdca5 - actors.py:654 - Test execution result for handler 'get_expiring_items': 0 | 2025-08-19 13:33:41,267 - INFO - core.actors - 2d239887af4b442b9b6b1c8e344bdca5 - actors.py:538 - Failed to complete: TypeScript errors ","2025-08-20 12:01:36,136 - INFO - trpc_agent.actors - e36b83f590224989a20ac206e4112a81 - actors.py:654 - Test execution result for handler 'get_expiry_notifications': 0 | 2025-08-20 12:01:36,136 - INFO - core.actors - e36b83f590224989a20ac206e4112a81 - actors.py:538 - Failed to complete: TypeScript e"
pastel-blue-notes-app_trpc-agent_claude_gemini,WARN,WARN,FAIL,FAIL,PASS,PASS,"2025-08-19 13:48:08,496 - INFO - trpc_agent.actors - d665b8d6890c427c9b16daab6a9056c8 - actors.py:654 - Test execution result for handler 'delete_note': 0 | 2025-08-19 13:48:08,496 - INFO - core.actors - d665b8d6890c427c9b16daab6a9056c8 - actors.py:538 - Failed to complete: TypeScript errors (backen","2025-08-20 12:02:59,061 - INFO - trpc_agent.actors - 29c976a1187c405ab2345ebd4b8a1743 - actors.py:654 - Test execution result for handler 'get_user_notes': 1 | 2025-08-20 12:02:59,062 - INFO - core.actors - 29c976a1187c405ab2345ebd4b8a1743 - actors.py:538 - Failed to complete: TypeScript errors (bac"
pc-gaming-niche-site_trpc-agent_claude_gemini,WARN,WARN,FAIL,FAIL,PASS,PASS,"2025-08-19 14:39:18,505 - INFO - trpc_agent.actors - 50be3c32fe0c4d988c0ecd7fd5788a24 - actors.py:654 - Test execution result for handler 'delete_article': 0 | 2025-08-19 14:39:18,505 - INFO - core.actors - 50be3c32fe0c4d988c0ecd7fd5788a24 - actors.py:538 - Failed to complete: TypeScript errors (bac","2025-08-20 12:14:10,805 - INFO - core.actors - fc1a5b78c1584b9d9c91dd1f5c418729 - actors.py:382 - Compacted error message size: 908, original size: 67421 | 2025-08-20 12:14:10,805 - INFO - core.actors - fc1a5b78c1584b9d9c91dd1f5c418729 - actors.py:538 - Failed to complete: TypeScript errors in src/h"
personal-expense-tracker_trpc-agent_claude_gemini,WARN,WARN,FAIL,FAIL,PASS,PASS,"2025-08-19 14:16:00,849 - INFO - core.actors - 11707e20783f49968ea3e856dc2aada2 - actors.py:382 - Compacted error message size: 626, original size: 10285 | 2025-08-19 14:16:00,850 - INFO - core.actors - 11707e20783f49968ea3e856dc2aada2 - actors.py:538 - Failed to complete: TypeScript error in src/ha","2025-08-20 12:09:29,330 - INFO - trpc_agent.actors - 25a98b1bc1f1403da226bced62042aba - actors.py:654 - Test execution result for handler 'get_transactions': 1 | 2025-08-20 12:09:29,330 - INFO - core.actors - 25a98b1bc1f1403da226bced62042aba - actors.py:538 - Failed to complete: TypeScript errors (b"
plant-care-tracker_trpc-agent_claude_gemini,WARN,WARN,FAIL,FAIL,PASS,PASS,,
plumbing-business-landing-page_trpc-agent_claude_gemini,WARN,WARN,FAIL,FAIL,PASS,PASS,"2025-08-19 14:01:35,381 - INFO - trpc_agent.actors - 922f6378365844dea80b69c8a0d6988d - actors.py:654 - Test execution result for handler 'create_contact_inquiry': 0 | 2025-08-19 14:01:35,381 - INFO - core.actors - 922f6378365844dea80b69c8a0d6988d - actors.py:538 - Failed to complete: TypeScript err","2025-08-20 12:03:59,550 - INFO - core.actors - ca5b73bab6a94467998a184f52c7d6f6 - actors.py:382 - Compacted error message size: 480, original size: 9198 | 2025-08-20 12:03:59,550 - INFO - core.actors - ca5b73bab6a94467998a184f52c7d6f6 - actors.py:538 - Failed to complete: TypeScript error: | src/tes"
pomodoro-study-timer_trpc-agent_claude_gemini,WARN,WARN,FAIL,FAIL,PASS,PASS,"2025-08-19 15:05:34,748 - INFO - trpc_agent.actors - 0e88ffbc8ad541c88cb9d1c0d329c741 - actors.py:654 - Test execution result for handler 'get_sessions': 0 | 2025-08-19 15:05:34,748 - INFO - core.actors - 0e88ffbc8ad541c88cb9d1c0d329c741 - actors.py:538 - Failed to complete: TypeScript errors (backe",
recipe-sharing-platform_trpc-agent_claude_gemini,WARN,WARN,FAIL,FAIL,PASS,PASS,"2025-08-19 15:01:10,396 - INFO - trpc_agent.actors - 7bb77f066c0b4f839b466a108cf9643f - actors.py:654 - Test execution result for handler 'get_recipes_by_author': 0 | 2025-08-19 15:01:10,396 - INFO - core.actors - 7bb77f066c0b4f839b466a108cf9643f - actors.py:538 - Failed to complete: TypeScript erro","2025-08-20 12:20:51,963 - INFO - trpc_agent.actors - 799cfe915ac0489a8163cf199bf161da - actors.py:654 - Test execution result for handler 'add_to_favorites': 1 | 2025-08-20 12:20:51,964 - INFO - core.actors - 799cfe915ac0489a8163cf199bf161da - actors.py:538 - Failed to complete: TypeScript errors (b"
roommate-chore-wheel_trpc-agent_claude_gemini,WARN,WARN,FAIL,FAIL,PASS,PASS,"2025-08-19 13:20:08,703 - INFO - core.actors - 52d629de26bc4882bc5cd4f8df97bb49 - actors.py:382 - Compacted error message size: 479, original size: 30111 | 2025-08-19 13:20:08,704 - INFO - core.actors - 52d629de26bc4882bc5cd4f8df97bb49 - actors.py:538 - Failed to complete: TypeScript errors in src/h","2025-08-20 11:57:24,173 - INFO - trpc_agent.actors - 1bad27993863442bb2c5904cc89d9cfe - actors.py:654 - Test execution result for handler 'mark_assignment_completed': 1 | 2025-08-20 11:57:24,173 - INFO - core.actors - 1bad27993863442bb2c5904cc89d9cfe - actors.py:538 - Failed to complete: TypeScript "
teacher-question-bank_trpc-agent_claude_gemini,WARN,WARN,FAIL,FAIL,PASS,PASS,"2025-08-19 13:57:15,472 - INFO - core.actors - 8a218e10c2fe480786ffa0000e46e56d - actors.py:382 - Compacted error message size: 1073, original size: 39342 | 2025-08-19 13:57:15,472 - INFO - core.actors - 8a218e10c2fe480786ffa0000e46e56d - actors.py:538 - Failed to complete: TypeScript errors: |  | s","2025-08-20 12:05:28,021 - INFO - core.actors - a151fdb0425a4ffc8dcf5d5138300452 - actors.py:382 - Compacted error message size: 1018, original size: 15070 | 2025-08-20 12:05:28,021 - INFO - core.actors - a151fdb0425a4ffc8dcf5d5138300452 - actors.py:538 - Failed to complete: TypeScript errors: |  | s"
tennis-enthusiast-platform_trpc-agent_claude_gemini,WARN,WARN,FAIL,FAIL,PASS,PASS,"2025-08-19 14:43:25,807 - INFO - trpc_agent.actors - c6b50e70037f43fd8a960328f8aced01 - actors.py:654 - Test execution result for handler 'update_user_profile': 1 | 2025-08-19 14:43:25,807 - INFO - core.actors - c6b50e70037f43fd8a960328f8aced01 - actors.py:538 - Failed to complete: TypeScript errors","2025-08-20 12:15:18,587 - INFO - core.actors - 614e39d28cc64ff597dd650ec159f535 - actors.py:382 - Compacted error message size: 481, original size: 10836 | 2025-08-20 12:15:18,588 - INFO - core.actors - 614e39d28cc64ff597dd650ec159f535 - actors.py:538 - Failed to complete: TypeScript errors (backend"
todo-list-with-mood_trpc-agent_claude_gemini,WARN,WARN,FAIL,FAIL,PASS,PASS,"2025-08-19 14:24:21,832 - INFO - trpc_agent.actors - 95075440676646b2a0f6c6319f317f74 - actors.py:654 - Test execution result for handler 'update_mood_entry': 1 | 2025-08-19 14:24:21,833 - INFO - core.actors - 95075440676646b2a0f6c6319f317f74 - actors.py:538 - Failed to complete: TypeScript errors (","2025-08-20 12:12:02,097 - INFO - trpc_agent.actors - cdbc10262af84b30ab805f29c515d4fd - actors.py:654 - Test execution result for handler 'delete_mood_entry': 0 | 2025-08-20 12:12:02,098 - INFO - core.actors - cdbc10262af84b30ab805f29c515d4fd - actors.py:538 - Failed to complete: TypeScript errors ("
wellness-score-tracker_trpc-agent_claude_gemini,WARN,WARN,FAIL,FAIL,PASS,PASS,"2025-08-19 13:27:03,312 - INFO - trpc_agent.actors - fdc4ecb048054195b5ab9b5aaac16d78 - actors.py:654 - Test execution result for handler 'get_wellness_entry_by_id': 1 | 2025-08-19 13:27:03,312 - INFO - core.actors - fdc4ecb048054195b5ab9b5aaac16d78 - actors.py:538 - Failed to complete: TypeScript e","2025-08-20 11:57:37,217 - INFO - core.actors - 103ba9c9e36740238ca49955d3fa498b - actors.py:382 - Compacted error message size: 1244, original size: 11695 | 2025-08-20 11:57:37,217 - INFO - core.actors - 103ba9c9e36740238ca49955d3fa498b - actors.py:538 - Failed to complete: TypeScript errors (backen"
